===Database tsetmc

== Table structure for table tsetmc_stock_category

|------
|Column|Type|Null|Default
|------
|//**ID**//|int(11)|No|
|category_id|varchar(255)|No|
|category_title|varchar(255)|No|
|category_tsetmc_id|varchar(255)|No|
== Dumping data for table tsetmc_stock_category

|286|وتجارت|63917421733088077|57
|287|وخاور|47333458678352378|57
|288|وسينا|45050389997905274|57
|289|وكار|47996917271187218|57
|290|ونوين|47302318535715632|57
|291|وايران|3149396562827132|58
|292|ولپارس|48241092863917835|58
|293|ولساپا|45174198424472334|58
|294|ولصنم|71744682148776880|58
|295|ولغدر|23086515493897579|58
|296|ولملت|11403770140000603|58
|297|وليز|20946530370469828|58
|298|حپترو|16369313804633525|60
|299|حتايد|3722699128879020|60
|300|حتوكا|22260326095996531|60
|301|حفارس|35424116338766901|60
|302|حكشتي|60610861509165508|60
|303|اخابر|22811176775480091|64
|304|همراه|68635710163497089|64
|305|آسيا|51106317433079213|66
|306|البرز|70270965300262393|66
|307|اميد|18599703143458101|67
|308|امين|58873907630765023|67
|309|انرژي3|49641108336531623|67
|310|پارسيان|9481703061634967|66
|311|تملت|11129387075131725|67
|312|تنوين|25357135030606405|67
|313|دانا|48511238766369097|66
|314|كالا|44549439964296944|67
|315|لوتوس|59142194115401696|67
|316|ما|29860265627578401|66
|317|ملت|13611044044646901|66
|318|بورس|60523145697836739|67
|319|ثاباد|59612098290740355|70
|320|ثاخت|17800036702302776|70
|321|ثامان|66456062140680461|70
|322|ثشاهد|63481599728522324|70
|323|ثشرق|6043384171800349|70
|324|ثفارس|30852391633490755|70
|325|ثمسكن|3863538898378476|70
|326|ثنوسا|32845891587040106|70
|327|وآذر|1358190916156744|70
|328|وتوس|68117765376081366|70
|329|وساخت|25514780181345713|70
|330|آپ|55254206302462116|72
|331|پرداخت|59607545337891226|72
|332|رانفور|40505767672724777|72
|333|رتاپ|41048299027409941|72
|334|ركيش|27952969918967492|72
|335|سپ|71856634742001725|72
|336|سيستم|47749661205825616|72
|337|مداران|65999092673039059|72
|338|مرقام|23838634016123354|72
|339|هاي وب|43362635835198978|73
|340|رتكو|3823243780502959|74
|341|رمپنا|67126881188552864|74
